"[250.0, 2503.0, 3.0]"
"[144.0, 1448.0, 2.0]"
"[-1, 12601775.0, 3.0]"
"[340.0, 4518.0, 4.0]"
"[78.3, 22502870.0, 4.0]"
"[37.39, 11331143.0, 2.0]"
"[104.0, 13502070.0, 3.0]"
"[186.0, 24484455.0, 4.0]"
"[310.0, 37754570.0, 5.0]"
"[335.0, 32844881.0, 4.0]"
"[260.0, 2548.0, 3.0]"
"[618.0, 6055.0, 5.0]"
"[313.0, 3300.0, 4.0]"
"[197.0, 20702500.0, 3.0]"
"[57.12, 560690.0, 1.0]"
"[398.0, 39004200.0, 4.0]"
"[127.0, 2120.0, 3.0]"
"[24.0, 910.0, 2.0]"
"[45.31, 13731460.0, 3.0]"
"[84.52, 2654.0, 4.0]"
"[450.0, 18002250.0, 3.0]"
"[390.0, 3618.0, 4.0]"
"[380.0, 22462370.0, 2.0]"
"[76.99, 1099.0, 2.0]"
"[9499.0, 13591689.0, 3.0]"
